BN,ventBN,BS,IEnd,I:E ratio,iTime,eTime,inst_RR,TVi,TVe,TVe:TVi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS,x01,TVi1,TVe1,x02,TVi2,TVe2,minF_to_zero
1,8246,0.02,0.92,0.30821917808219174,0.9,2.9200000000000004,15.706806282722512,396.27111111111111,397.94666666666672,1.0042283060979578,46.8,-42.4,17.6,17.6,13.671333333333331,5.416,12.085666666666668,17.719600000000003, ,0.02,2015-06-15 01:26:01.201913000,396.27111111111111,397.94666666666672,2015-06-15 01:26:01.201913000,396.27111111111111,397.94666666666672,15.110714285714282
2,8248,3.84,4.78,0.30519480519480524,0.9400000000000001,3.0799999999999996,14.92537313432836,393.62666666666667,395.80333333333334,1.005529774405528,44.29,-38.89,18.19,18.19,13.701276595744682,5.43,12.673200000000001,18.523466666666668, ,3.84,2015-06-15 01:26:15.067183000,393.62666666666667,395.80333333333334,2015-06-15 01:26:15.067183000,393.62666666666667,395.80333333333334,13.12751677852349
3,8249,7.86,8.8,0.3333333333333333,0.9400000000000001,2.8200000000000003,15.957446808510637,402.02444444444444,396.66444444444448,0.98666747737837956,44.96,-41.21,19.66,19.66,13.814893617021283,5.6259999999999994,12.7666,17.062233333333335, ,7.86,2015-06-15 01:26:19.982548000,402.02444444444444,396.66444444444448,2015-06-15 01:26:19.982548000,402.02444444444444,396.66444444444448,14.847826086956522
4,8250,11.62,12.62,0.3401360544217687,1.0,2.94,15.228426395939087,410.92388888888888,416.81527777777785,1.0143369345228843,42.49,-44.05,18.38,18.38,13.9758,5.587999999999999,13.748400000000004,17.952216666666665, ,11.62,2015-06-15 01:26:24.613076000,410.92388888888888,416.81527777777785,2015-06-15 01:26:24.613076000,410.92388888888888,416.81527777777785,15.472027972027973
5,8251,15.56,16.54,0.32450331125827814,0.98,3.02,15.0,402.79222222222228,404.2144444444445,1.0035309078570975,41.0,-40.97,19.05,19.05,13.834081632653062,5.564000000000001,13.371466666666667,18.326850000000004, ,15.56,2015-06-15 01:26:29.201380000,402.79222222222228,404.2144444444445,2015-06-15 01:26:29.201380000,402.79222222222228,404.2144444444445,13.948979591836734
6,8252,19.56,20.52,0.3453237410071942,0.96,2.7800000000000002,16.0427807486631,402.66944444444448,393.93000000000006,0.97829623140016975,43.92,-41.03,18.16,18.16,13.829166666666667,5.556,13.071916666666667,16.936766666666667, ,19.56,2015-06-15 01:26:33.868970000,402.66944444444448,393.93000000000006,2015-06-15 01:26:33.868970000,402.66944444444448,393.93000000000006,15.25925925925926
7,8253,23.3,24.28,0.3402777777777778,0.98,2.88,15.544041450777202,404.98777777777775,406.26666666666665,1.0031578456414323,40.15,-44.28,17.12,17.12,13.738979591836735,5.563999999999999,13.273733333333332,17.470400000000005, ,23.3,2015-06-15 01:26:38.275191000,404.98777777777775,406.26666666666665,2015-06-15 01:26:38.275191000,404.98777777777775,406.26666666666665,16.227941176470587
8,8255,27.16,28.08,0.338235294117647,0.92,2.72,16.483516483516482,399.96444444444455,399.85555555555561,0.99972775357809573,44.96,-41.08,17.95,17.95,13.744565217391301,5.534000000000001,12.441833333333333,16.595800000000004, ,27.16,2015-06-15 01:26:48.985117000,399.96444444444455,399.85555555555561,2015-06-15 01:26:48.985117000,399.96444444444455,399.85555555555561,15.519083969465647
9,8256,30.8,31.8,0.3401360544217687,1.0,2.94,15.228426395939087,419.97500000000008,422.55305555555555,1.0061385929056621,44.04,-42.49,17.83,17.83,13.922,5.56,13.69725,17.983883333333335, ,30.8,2015-06-15 01:26:53.392749000,419.97500000000008,422.55305555555555,2015-06-15 01:26:53.392749000,419.97500000000008,422.55305555555555,15.02797202797203
10,8257,34.74,35.74,0.3424657534246575,1.0,2.92,15.306122448979592,421.10027777777782,407.17888888888888,0.9669404423992437,41.93,-41.1,18.04,18.04,13.808000000000003,5.38,13.6028,17.581266666666664, ,34.74,2015-06-15 01:26:58.003141000,421.10027777777782,407.17888888888888,2015-06-15 01:26:58.003141000,421.10027777777782,407.17888888888888,14.733812949640287
11,8258,38.66,39.58,0.2839506172839507,0.92,3.2399999999999993,14.423076923076925,399.94833333333338,399.08222222222224,0.99783444250437892,44.55,-40.89,19.48,19.48,13.825434782608692,5.433999999999999,12.517016666666667,19.437666666666665, ,38.66,2015-06-15 01:27:02.847243000,399.94833333333338,399.08222222222224,2015-06-15 01:27:02.847243000,399.94833333333338,399.08222222222224,13.434210526315791
12,8259,42.82,43.8,0.31012658227848106,0.98,3.1599999999999997,14.492753623188406,415.55555555555554,401.29666666666668,0.96568716577540115,44.73,-40.26,17.78,17.78,13.785714285714288,5.5200000000000005,13.307,18.9694, ,42.82,2015-06-15 01:27:07.753858000,415.55555555555554,401.29666666666668,2015-06-15 01:27:07.753858000,415.55555555555554,401.29666666666668,13.205882352941174
13,8260,46.96,47.94,0.3550724637681159,0.98,2.7600000000000002,16.0427807486631,407.6422222222223,399.69888888888897,0.98051395831856913,43.24,-39.03,17.21,17.21,13.733673469387758,5.502,13.2638,16.719533333333338, ,46.96,2015-06-15 01:27:12.633191000,407.6422222222223,399.69888888888897,2015-06-15 01:27:12.633191000,407.6422222222223,399.69888888888897,14.42910447761194
